itemID,title,gender,style,outline,materials,color,pattern,detail,donning、doffing,URL link
p120,棕皮搭扣保暖鞋,女款,复古保暖鞋,穆勒拖型,皮革、毛绒,棕色,无图案,搭扣装饰、毛绒内衬,穿脱式,https://dw4.co/t/A/1u7NybM37
p121,童趣印花藏蓝针织开衫,女款,甜美休闲开衫,宽松短款型,针织面料,藏蓝,蘑菇小狗、蝴蝶结、星星印花、字母,圆领、彩色纽扣,系扣式,https://detail.tmall.com/item.htm?abbucket=2&id=983679143610&mi_id=0000x5t_vnsl33jNYUYaF2qoVNFuuma8Ppa0fJTMbrRbMyY&ns=1&priceTId=214781c117687401615952551e116b&skuId=6111635078444&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22efcf3cbf58f951ff3f713f8f8b327ff1%22%7D&xxc=taobaoSearch
p122,白色木耳边半高领上衣,女款,温柔基础款上衣,修身型,棉质面料,白色,胸前小标,半高领、下摆双层木耳边,套头式,https://detail.tmall.com/item.htm?abbucket=2&id=984176966149&mi_id=00000Lnuwam8dy0CLLgXz9u6AkyJ8FNmGYKqSGEgcVYe6vE&ns=1&priceTId=214781c117687401726323229e116b&skuId=5945605040057&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%228cdbd426318c4c7b0d487e5570e8fe9b%22%7D&xxc=taobaoSearch
p123,手套装饰灰阔腿裤,女款,童趣休闲裤装,宽松阔腿型,棉质面料,灰色,后腰手套造型装饰、字母标,松紧腰头,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=984957335190&mi_id=0000wxyNB5GHVDPxTBJSieaU85itkorPVuISG3YUyXHVtDo&ns=1&priceTId=214781c117687401836404093e116b&skuId=6114840031276&spm=a21n57.imgsearch.item.2&utparam=%7B%22aplus_abtest%22%3A%22c09ac84b9bad352a0c38330a4577b100%22%7D&xxc=taobaoSearch
p124,白色毛绒渔夫帽,女款,保暖休闲帽饰,渔夫帽型,毛绒面料,白色,无图案,宽檐贴合设计,佩戴式,https://detail.tmall.com/item.htm?abbucket=2&id=753306534791&mi_id=0000_6l0x0OFwq9Ok3oow1Yec5i6I0q2xcWZB0JJsuDM-ws&ns=1&priceTId=214781c117687402029985522e116b&skuId=5362839270621&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22bd90fabf5d3e99c458e87bd4dec17f27%22%7D&xxc=taobaoSearch
p125,灰绒搭扣穆勒鞋,女款,复古休闲拖鞋,穆勒拖型,绒面革,灰色,无图案,金属搭扣装饰,穿脱式,https://dw4.co/t/A/1u7Nz382h
p126,花朵数字印花卫衣,女款,潮流休闲上衣,宽松短款型,棉质面料,米白、红、蓝,胸前花朵数字印花,圆领、袖侧条纹,套头式,https://detail.tmall.com/item.htm?abbucket=2&id=836957808425&mi_id=0000bZY9PR2k_nNKbvPzhw8wjE9V8SvHSs47FN6kDl17ncM&ns=1&priceTId=214781c117687402373657974e116b&skuId=5868216919609&spm=a21n57.imgsearch.item.2&utparam=%7B%22aplus_abtest%22%3A%2211c0182cf5e2436a6f14393c8291d62a%22%7D&xxc=taobaoSearch
p127,棕格纹百褶半裙,女款,复古学院半裙,短款型,毛呢面料,棕格纹,无图案,高腰百褶设计,穿脱式,https://item.taobao.com/item.htm?abbucket=2&id=839476112063&mi_id=00005tl5rTb6-5Auy_MId6VM_CNkhrV5PMWpn0SA7_VS7V4&ns=1&priceTId=214781c117687402756582643e116b&skuId=5769326546918&spm=a21n57.imgsearch.item.2&utparam=%7B%22aplus_abtest%22%3A%22e48ff3c3177425f668a5793b40f1c6f5%22%7D&xxc=taobaoSearch
p128,酒红亮面手提包,女款,轻奢时尚包袋,迷你波士顿型,亮面皮革,酒红,无图案,手提、拉链开合,开合式,https://dw4.co/t/A/1u7MBBwpH
p129,白色长筒针织袜,女款,基础款配饰袜,长筒型,棉质面料,白色,无图案,罗纹纹理,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=843352652406&mi_id=0000aQep_3I0wA2r6EIqerDvaLMpyzjuWUfN_hHrMeMoJoo&ns=1&priceTId=214781c117687403174045573e116b&skuId=5786218943346&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%224686f0db3e649a9ef77f4303daf5dc3a%22%7D&xxc=taobaoSearch
p130,酒红漆皮T字带单鞋,女款,复古甜美单鞋,低跟浅口型,漆皮面料,酒红,无图案,T字带、双搭扣,穿脱式,https://dw4.co/t/A/1u7N1SuBS
p131,条纹蕾丝拼接背心,女款,甜美休闲上衣,短款型,棉质面料,白、黑,条纹、蕾丝拼接,圆领、字母爱心标,套头式,https://detail.tmall.com/item.htm?abbucket=2&id=902503343624&mi_id=0000I2GJrIeldJl55fxtxb42yx7wl9Oce9OoXif4EdERie0&ns=1&priceTId=214781c117687403785561798e116b&skuId=5762303277218&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%226e038182d905fcb5439a8de4164262d6%22%7D&xxc=taobaoSearch
p132,蕾丝装饰牛仔中裤,女款,复古休闲裤装,中裤型,牛仔面料,浅蓝,口袋蕾丝装饰,高腰、纽扣开合,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=903671996686&mi_id=0000NTJM1_HubwLNzuEwsxtaTB5zjYTOH5yF9x0CsSkKFtU&ns=1&priceTId=214781c117687403881722418e116b&skuId=6011692468914&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22a6af1f175f435630d3be0daa21068e95%22%7D&xxc=taobaoSearch
p133,黑色亮面手提包,女款,简约时尚包袋,迷你波士顿型,亮面皮革,黑色,无图案,手提、拉链开合,开合式,https://item.taobao.com/item.htm?abbucket=2&id=852153128949&mi_id=0000HGWBDP4FYepXB4M0bkA46gpqT6tTmbcIqWFWJbf7_Bc&ns=1&priceTId=214781c117687403975783068e116b&skuId=6133041459406&spm=a21n57.imgsearch.item.4&utparam=%7B%22aplus_abtest%22%3A%22b33e521e6f25d0a84a9e2dfef364bec9%22%7D&xxc=taobaoSearch
p134,白色木耳边中筒袜,女款,甜美配饰袜,中筒型,棉质面料,白色,无图案,袜口木耳边、小标,穿脱式,https://item.taobao.com/item.htm?abbucket=2&id=904978929040&mi_id=0000hg0xvtJ-5kuvW6kpA0zAkJg_vA8CobHUBlrvo0AY-K4&ns=1&priceTId=214781c117687404150094321e116b&skuId=6173521983718&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2284f57480cd2e30680aee9ea541dd973b%22%7D&xxc=taobaoSearch
p135,黑色漆皮蝴蝶结乐福鞋,女款,复古甜美单鞋,低帮平底型,漆皮面料,黑色,无图案,鞋身蝴蝶结装饰,穿脱式,https://dw4.co/t/A/1u7NzsM6m
p136,星月飞马印花无袖上衣,女款,奇幻休闲上衣,短款型,棉质面料,深蓝、金,星月、飞马、天平印花,挂脖领,套头式,https://detail.tmall.com/item.htm?abbucket=2&id=903318445409&mi_id=0000odb6Jk41oy336x5a7T4d0MVWdV4cFsv3fnmtF1PrFM4&ns=1&priceTId=214781c117687404339485853e116b&skuId=6004516124673&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22e8a9bb6b197d8e4a5aeb32c60ccdc050%22%7D&xxc=taobaoSearch
p137,星月飞马印花阔腿裤,女款,奇幻休闲裤装,阔腿型,棉质面料,深蓝、金,星月、飞马、天平印花,松紧腰头,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=903318445409&mi_id=0000odb6Jk41oy336x5a7T4d0MVWdV4cFsv3fnmtF1PrFM4&ns=1&priceTId=214781c117687404339485853e116b&skuId=6004516124673&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22e8a9bb6b197d8e4a5aeb32c60ccdc050%22%7D&xxc=taobaoSearch
p138,白色蕾丝镂空托特包,女款,温柔时尚包袋,托特包型,蕾丝面料,白色,镂空花纹,长肩带,开合式,https://item.taobao.com/item.htm?abbucket=2&id=911948815892&mi_id=0000lIhwFOGGkR5wZfdDQuChj2g9oOdnGyo94l9UmTQl6XY&ns=1&priceTId=214781c117687404804078869e116b&skuId=5777604249244&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22a29c7fc1a3521feff52463b533ba2dc0%22%7D&xxc=taobaoSearch
p139,米白蝴蝶结夹脚拖鞋,女款,甜美休闲拖鞋,夹脚拖型,皮革面料,米白、棕,无图案,鞋身大蝴蝶结装饰,穿脱式,https://item.taobao.com/item.htm?abbucket=2&id=927379029984&mi_id=0000cF7Cb6UxUjWbVqLjSCQLV6UtGk8UvAfca4Gt4mS6ELo&ns=1&priceTId=214781c117687405259344232e116b&skuId=5807959840466&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2214b995919fe0180122ab63d21c3d53e8%22%7D&xxc=taobaoSearch
p140,花朵笑脸印花针织外套,女款,童趣休闲外套,宽松短款型,针织面料,藏蓝、粉、黄,花朵笑脸、数字印花,立领、拉链开合,拉链式,https://detail.tmall.com/item.htm?abbucket=2&id=828721802312&mi_id=0000chsvOlUNK9Yk8IFvSjNFnJcIOoUMZPKrvk1lBY5r6Hw&ns=1&priceTId=214781c117687405866571552e116b&skuId=5593403825059&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2209eb5cfd9973b655a9df3d2722fd0f58%22%7D&xxc=taobaoSearch
p141,条纹蕾丝拼接背心,女款,甜美休闲上衣,短款型,棉质面料,白、黑,条纹、蕾丝拼接,圆领、字母爱心标,套头式,https://detail.tmall.com/item.htm?abbucket=2&id=828721802312&mi_id=0000chsvOlUNK9Yk8IFvSjNFnJcIOoUMZPKrvk1lBY5r6Hw&ns=1&priceTId=214781c117687405866571552e116b&skuId=5593403825059&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2209eb5cfd9973b655a9df3d2722fd0f58%22%7D&xxc=taobaoSearch
p142,蕾丝装饰牛仔中裤,女款,复古休闲裤装,中裤型,牛仔面料,浅蓝,口袋蕾丝装饰,高腰、纽扣开合,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=828505823701&mi_id=0000lAarmGxdRK8ebGxHYS1zZ_1rNJKHvuJbT31h8Q5xtPQ&ns=1&priceTId=214781c117687405866571552e116b&skuId=5684992253826&spm=a21n57.imgsearch.item.3&utparam=%7B%22aplus_abtest%22%3A%224ffd77504c6551f78fc19cc5cdb4b4c4%22%7D&xxc=taobaoSearch
p143,黑色亮面手提包,女款,简约时尚包袋,迷你波士顿型,亮面皮革,黑色,无图案,手提、拉链开合,开合式,https://item.taobao.com/item.htm?abbucket=2&id=844801579476&mi_id=00005rDOfB6y4JBJqAOEJnWudDTxIILKXza5lMEIIoQSxIU&ns=1&priceTId=214781c117687406164983489e116b&skuId=5625605321757&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22ca80ab7eb9767c88aedfbc23740adcd3%22%7D&xxc=taobaoSearch
p144,白色木耳边中筒袜,女款,甜美配饰袜,中筒型,棉质面料,白色,无图案,袜口木耳边、小标,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=961813148257&mi_id=0000SdIZ3AqPCbslQ5muZtsZz2JtJp6Mf5H1BqjwLxEE9E4&ns=1&priceTId=214781c117687406309404581e116b&skuId=6059418139948&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%224c68a22261e546391e24a1bd04033bb1%22%7D&xxc=taobaoSearch
p145,黑色漆皮蝴蝶结乐福鞋,女款,复古甜美单鞋,低帮平底型,漆皮面料,黑色,无图案,鞋身蝴蝶结装饰,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=961813148257&mi_id=0000SdIZ3AqPCbslQ5muZtsZz2JtJp6Mf5H1BqjwLxEE9E4&ns=1&priceTId=214781c117687406309404581e116b&skuId=6059418139948&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%224c68a22261e546391e24a1bd04033bb1%22%7D&xxc=taobaoSearch
p146,星月飞马印花无袖上衣,女款,奇幻休闲上衣,短款型,棉质面料,深蓝、金,星月、飞马、天平印花,挂脖领,套头式,https://detail.tmall.com/item.htm?abbucket=2&id=852997211387&mi_id=0000GkhLRBWbgfqFuVgOLGHKDowXvCkdRPY719NERh-F014&ns=1&priceTId=214781c117687407044702702e116b&skuId=5996234745171&spm=a21n57.imgsearch.item.2&utparam=%7B%22aplus_abtest%22%3A%22e2981a441f0d0f6557f7518e3b20d7e6%22%7D&xxc=taobaoSearch
p147,星月飞马印花阔腿裤,女款,奇幻休闲裤装,阔腿型,棉质面料,深蓝、金,星月、飞马、天平印花,松紧腰头,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=1009168817762&mi_id=0000yHFSRhA9S7VNkeDEe0AZwJRogacCOOzgiBTblSBoEyc&ns=1&priceTId=214781c117687395907232031e116b&skuId=6007208432696&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2247268061c9b0f4e341bb20a4bd40c366%22%7D&xxc=taobaoSearch
p148,白色蕾丝镂空托特包,女款,温柔时尚包袋,托特包型,蕾丝面料,白色,镂空花纹,长肩带,开合式,https://detail.tmall.com/item.htm?abbucket=2&id=869474413214&mi_id=0000gnUJ5yPjUaPtmVH8XUVmxbwLS1rmi3aoIHGOKR3VhpY&ns=1&priceTId=214781c117687407461216033e116b&skuId=5697653112866&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2201b86cae10789782451f91e53d9568e0%22%7D&xxc=taobaoSearch
p149,米白蝴蝶结夹脚拖鞋,女款,甜美休闲拖鞋,夹脚拖型,皮革面料,米白、棕,无图案,鞋身大蝴蝶结装饰,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=869123934244&mi_id=00002vyroVbIDJvhXXgDo7Hyo6xtH7JqcgrixJJhmXMiQEQ&ns=1&priceTId=214781c117687407572866900e116b&skuId=5865273218027&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22b11577280ee3e8b56daab00007a08844%22%7D&xxc=taobaoSearch
p150,花朵笑脸印花针织外套,女款,童趣休闲外套,宽松短款型,针织面料,藏蓝、粉、黄,花朵笑脸、数字印花,立领、拉链开合,拉链式,https://detail.tmall.com/item.htm?abbucket=2&id=869458245373&mi_id=0000gnrqLAhfrHOmCchCXLx16c4OaPb0HDrqGpd1mCVjIZ0&ns=1&priceTId=214781c117687407668447866e116b&skuId=6007886492456&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2245b3c134cc92c992428d771ea6187b70%22%7D&xxc=taobaoSearch
p151,黑色漆皮T字带粗跟单鞋,女款,复古学院单鞋,低帮粗跟型,漆皮面料,黑色,无图案,T字带、搭扣、布洛克雕花,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=1010463362322&mi_id=00002QITQOpsg5Zs1HDxoP10WrmaHpT5NM6g0Hyn9cSooMk&ns=1&priceTId=214781c117687407784928965e116b&skuId=6177302026964&spm=a21n57.imgsearch.item.6&utparam=%7B%22aplus_abtest%22%3A%22e3bfa9035105cd3050c96c5f03318e1d%22%7D&xxc=taobaoSearch
p152,黑色宽松皮质外套,女款,酷帅休闲外套,宽松短款型,皮革面料,黑色,无图案,翻领、拉链开合、侧插袋,拉链式,https://detail.tmall.com/item.htm?abbucket=2&id=960582518430&mi_id=0000Zo-2-nGod3rd8ViNjMgP0CiF43LaeqRuOdOZSe1LsoQ&ns=1&priceTId=214781c117687407976852586e116b&skuId=6072103114413&spm=a21n57.imgsearch.item.2&utparam=%7B%22aplus_abtest%22%3A%2212bc410300a3496a49d9f41df2b737f5%22%7D&xxc=taobaoSearch
p153,红色罗纹针织上衣,女款,简约基础款上衣,修身型,针织面料,红色,胸前品牌标,圆领、罗纹纹理,套头式,https://detail.tmall.com/item.htm?abbucket=2&id=961266337317&mi_id=0000yohz6ouY7TRAdmUHSQMaqeRTZnJ9LrcT_v8A8tSXuPc&ns=1&priceTId=214781c117687408095903395e116b&skuId=5893655421273&spm=a21n57.imgsearch.item.2&utparam=%7B%22aplus_abtest%22%3A%22d9e94980aed9b2823847f28d90e6e1fd%22%7D&xxc=taobaoSearch
p154,星星装饰白色蕾丝领上衣,女款,甜美休闲上衣,修身型,棉质面料,白色,胸前星星装饰,蕾丝领、袖口蕾丝,套头式,https://detail.tmall.com/item.htm?abbucket=2&id=955376357211&mi_id=0000UsAB9JMpL-QlUKqBZIduP4RKmtncbU2rv6TdZiSp_Cc&ns=1&priceTId=214781c117687408221494377e116b&skuId=6045352815576&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%226c08cbfad553eb5267548d88237cf3cd%22%7D&xxc=taobaoSearch
p155,灰色纹理百褶半裙,女款,简约休闲半裙,短款型,棉质面料,灰色,侧边品牌标,松紧腰头、百褶设计,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=955285789332&mi_id=0000oXguzHR_czWxBc6a4qUBnAA6N9uskAx2eNkMycVbccA&ns=1&priceTId=214781c117687408323885274e116b&skuId=5879256993290&spm=a21n57.imgsearch.item.2&utparam=%7B%22aplus_abtest%22%3A%221d85f1443ab1608f5f44d240d50b28de%22%7D&xxc=taobaoSearch
p156,白色木耳边长筒袜,女款,甜美配饰袜,长筒型,棉质面料,白色,无图案,袜口木耳边、罗纹纹理,穿脱式,https://item.taobao.com/item.htm?abbucket=2&id=739847609901&mi_id=0000vPzitCwgnNoOSIWfqZpf6ZBR2QBktM02BIHTWODEKDs&ns=1&priceTId=214781c117687408440476068e116b&skuId=5277209475759&spm=a21n57.imgsearch.item.2&utparam=%7B%22aplus_abtest%22%3A%226988a6f0ee243aad4391b9f78cdd975a%22%7D&xxc=taobaoSearch
p157,黑白拼色蝴蝶结单鞋,女款,甜美休闲单鞋,低帮平底型,皮革面料,白、黑,无图案,蝴蝶结装饰、T字带,穿脱式,https://dw4.co/t/A/1u7NKuhYS
p158,粉白玫瑰爱心针织外套,女款,温柔休闲外套,宽松短款型,针织面料,米白、粉,玫瑰、爱心提花,立领、拉链开合,拉链式,https://detail.tmall.com/item.htm?abbucket=2&id=837061280442&mi_id=0000eZeBX8igojqmla-EWs_f6wMKjMGi5F-efSAKirtQ7bw&ns=1&priceTId=214781c117687409219464579e116b&skuId=5593344264092&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%227b805a2c907e4dd39430c5ce3e01b020%22%7D&xxc=taobaoSearch
p159,粉色双层荷叶边半裙,女款,甜美休闲半裙,中长款型,棉质面料,粉色,无图案,松紧腰头、双层荷叶边,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=836644814340&mi_id=00008mGY7cscuSZ-LwLOkWw2wzTER1U1DWFF97rnGITCqqA&ns=1&priceTId=214781c117687409339755469e116b&skuId=6021455074228&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22010f266e82d29042d63757fe94bde9e8%22%7D&xxc=taobaoSearch
p160,米白拼色休闲运动鞋,通用款,复古休闲鞋,低帮平底型,网布、绒面革,米白、棕,无图案,撞色鞋带、透气网面,穿脱式,https://dw4.co/t/A/1u7NNittU
p161,米黑拼色格纹假两件连衣裙,女款,学院风甜美裙装,短款型,针织、毛呢面料,米白、黑,格纹、胸前爱心标,圆领开衫、百褶裙,系扣式,https://detail.tmall.com/item.htm?abbucket=2&id=862059919881&mi_id=0000wQXm2rWhC_kCzI-lcPGOjGsf9dcQel3dxgta38mjgfs&ns=1&priceTId=214781c117687409442266151e116b&skuId=5710274652067&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22502ecf7a4a1b46ef85cc5518de2daf2e%22%7D&xxc=taobaoSearch
p162,白色丝带装饰长筒袜,女款,甜美配饰袜,长筒型,棉质面料,白色,无图案,袜口丝带蝴蝶结,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=889102189987&mi_id=0000vorq55P0EEIGZ_kM5Xye1jkSTD9-QlQA6YBFoQAlQ7s&ns=1&priceTId=214781c117687409620977436e116b&skuId=5900522506772&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%227c54043bb64561bc1ad4843453e65601%22%7D&xxc=taobaoSearch
p163,黑色编织装饰乐福鞋,女款,复古休闲单鞋,低帮平底型,皮革面料,黑色,无图案,鞋身编织装饰,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=979599991776&mi_id=0000UMWdCc6QSk2dQpuJ8YEAVPx21BD4zOe8EyvJ9p6IjNw&ns=1&priceTId=214781c117687409731268225e116b&skuId=6103621302855&spm=a21n57.imgsearch.item.3&utparam=%7B%22aplus_abtest%22%3A%2296bd1fa557ecf05afc917a18bee4fa6e%22%7D&xxc=taobaoSearch
p164,星星提花拼色针织开衫,女款,温柔休闲开衫,短款型,针织面料,米白、黑,星星提花、爱心标,圆领、蕾丝门襟,系扣式,https://detail.tmall.com/item.htm?abbucket=2&id=966123232569&mi_id=0000HAvWpPY2fKrajMy3DVJ0W2PlfF0kKzX5iHbWvtuFb5c&ns=1&priceTId=214781c117687409871151348e116b&skuId=6073525687260&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22ce78c1045ee7161e1eb42e658ed578d6%22%7D&xxc=taobaoSearch
p165,星星提花拼色百褶半裙,女款,温柔休闲半裙,短款型,针织面料,米白、黑,星星提花,松紧腰头、蕾丝裙摆,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=966123232569&mi_id=0000HAvWpPY2fKrajMy3DVJ0W2PlfF0kKzX5iHbWvtuFb5c&ns=1&priceTId=214781c117687409871151348e116b&skuId=6073525687260&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22ce78c1045ee7161e1eb42e658ed578d6%22%7D&xxc=taobaoSearch
p166,米白撞色条纹中筒袜,通用款,简约配饰袜,中筒型,棉质面料,米白、棕、黑,袜口条纹,罗纹纹理,穿脱式,https://item.taobao.com/item.htm?abbucket=2&id=840568609681&mi_id=0000sMn2eVrDkbLbU8u1Ath6IpQMp1YxiyTUU3loew3_28Q&ns=1&priceTId=214781c117687409994532194e116b&skuId=5605777504086&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2259812961e0770b6ba33b8dd770ad657e%22%7D&xxc=taobaoSearch
p167,黑色厚底金属扣乐福鞋,女款,酷帅休闲单鞋,低帮厚底型,皮革面料,黑色,无图案,金属扣装饰、厚底,穿脱式,https://dw4.co/t/A/1u7Q0MmBo
p168,藏蓝菱格领结针织上衣,女款,学院风休闲上衣,修身型,针织面料,藏蓝、米白、红,菱格纹理、领结,翻领、袖口撞色,套头式,https://detail.tmall.com/item.htm?abbucket=2&id=822920998995&mi_id=0000krVrDxNu31jtSD8ijEQ2MKKDKzRDoaOCQR4Tj6EfnCk&ns=1&priceTId=214781c117687410434685572e116b&skuId=5534998476037&spm=a21n57.imgsearch.item.3&utparam=%7B%22aplus_abtest%22%3A%22c2f5285a81458d4a4b69680aa42b94fc%22%7D&xxc=taobaoSearch
p169,藏蓝双条边百褶半裙,女款,学院风休闲半裙,短款型,针织面料,藏蓝、白,裙摆双条边,松紧腰头、百褶设计,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=822920998995&mi_id=0000krVrDxNu31jtSD8ijEQ2MKKDKzRDoaOCQR4Tj6EfnCk&ns=1&priceTId=214781c117687410434685572e116b&skuId=5534998476037&spm=a21n57.imgsearch.item.3&utparam=%7B%22aplus_abtest%22%3A%22c2f5285a81458d4a4b69680aa42b94fc%22%7D&xxc=taobaoSearch
p170,黑色小熊装饰贝雷帽,女款,甜美休闲帽饰,贝雷帽型,绒面面料,黑色,侧边小熊装饰,贴合头型设计,佩戴式,https://detail.tmall.com/item.htm?abbucket=2&id=734336720474&mi_id=0000hgd7-WLuZQ1AoTjapV45aEYK4N6YW4318tHJ717qKs8&ns=1&priceTId=214781c117687410965698965e116b&skuId=5263729043867&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%224e892dfab58357502a1cc9bb42d3c129%22%7D&xxc=taobaoSearch
p171,棕色多扣装饰长靴,女款,复古酷帅靴装,高筒粗跟型,皮革面料,棕色,无图案,鞋身多金属扣、厚底,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=949417928482&mi_id=00008rlWdZGUGChRtSxrsJ156bHoqxLarP0_0FlqxJMzeHE&ns=1&priceTId=214781c117687411067061475e116b&skuId=5860339969178&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22de5a0cae04f7144400c75b45be935be4%22%7D&xxc=taobaoSearch
p172,粉灰菱格针织背心,女款,学院风休闲背心,短款型,针织面料,灰、粉、白,菱格纹理,圆领、品牌标,套头式,https://detail.tmall.com/item.htm?abbucket=2&id=962434456019&mi_id=0000tugNPX2zPk0Ye3RP9MlbehbNgzKIofFSyiV8BQomxpU&ns=1&priceTId=214781c117687411226962524e116b&skuId=5895935065438&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22439c38e00a8f88ecfd385e245228b46f%22%7D&xxc=taobaoSearch
p173,白色大翻领长袖上衣,女款,甜美基础款上衣,修身型,棉质面料,白色,胸前小标,大翻领、半开襟,套头式,https://detail.tmall.com/item.htm?abbucket=2&id=953021608684&mi_id=0000XP_IQOotiYrH31pWtFP5YSO7wvOAbz2t6Eaeyn2Or7o&ns=1&priceTId=214781c117687411354203334e116b&skuId=6035946466503&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%226248ad9e1c3869e174e6b1b645453492%22%7D&xxc=taobaoSearch
p174,灰粉边百褶半裙,女款,学院风休闲半裙,短款型,针织面料,灰色,裙摆粉白边,松紧腰头、百褶设计,穿脱式,https://item.taobao.com/item.htm?abbucket=2&id=980670936563&mi_id=0000425brHPZnCcUdbvVLtOp8uFXWvhwCjl18Ra6jauwYJ0&ns=1&priceTId=214781c117687411454023973e116b&skuId=5935780872754&spm=a21n57.imgsearch.item.7&utparam=%7B%22aplus_abtest%22%3A%22ac31cf9e0fa2da92ae20d78729acf165%22%7D&xxc=taobaoSearch
p175,白色厚底休闲板鞋,通用款,简约休闲鞋,低帮厚底型,皮革面料,白色,鞋身品牌标,系带固定,穿脱式,https://dw4.co/t/A/1u7QopSpT
p176,红白花纹翻领针织上衣,女款,复古休闲上衣,修身型,针织面料,红、米白,满印花纹,翻领、领结装饰,套头式,https://detail.tmall.com/item.htm?abbucket=2&id=862819884667&mi_id=00008jRkg10xMTsmfuD50eRRLuYepH3N0LljrTZqJ59j3Fs&ns=1&priceTId=214781c117687412020887563e116b&skuId=5683670797700&spm=a21n57.imgsearch.item.2&utparam=%7B%22aplus_abtest%22%3A%2239bbe73e71cefa7a723a8ea01285fa3a%22%7D&xxc=taobaoSearch
p177,红纹边百褶半裙,女款,复古休闲半裙,短款型,针织面料,红色,裙摆纹边,松紧腰头、百褶设计,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=862819884667&mi_id=00008jRkg10xMTsmfuD50eRRLuYepH3N0LljrTZqJ59j3Fs&ns=1&priceTId=214781c117687412020887563e116b&skuId=5683670797700&spm=a21n57.imgsearch.item.2&utparam=%7B%22aplus_abtest%22%3A%2239bbe73e71cefa7a723a8ea01285fa3a%22%7D&xxc=taobaoSearch
